country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,South Australia,adelaide (south australia),disk,0.008333333,0.5,30.0,Several people  witnessed positive UFO on clear day.,7/10/2003,-34.928661,138.598633,10/01/1977,11:00:00
au,Western Australia,busselton (australia),light,0.083333333,5.0,300.0,3 light moviving erractically across the sky,21/03/2003,-33.652489,115.345497,10/01/2003,21:09:00
au,Victoria,bairnsdale (victoria&#44 australia),circle,0.05,3.0,180.0,East Gippsland &#44 Australia Sighting of a strong beam of light at ground level &#44 then assending into the sky .,14/02/2006,-37.822891,147.610413,10/01/2006,3:25:00
au,New South Wales,sydney (australia),circle,0.083333333,5.0,300.0,we saw an circular object flashing a light at us,30/10/2006,-33.861481,151.205475,10/01/2006,19:30:00
au,New South Wales,sydney (australia),light,0.066666667,4.0,240.0,Bright light moves North to South quickly in the sky over Sydney,1/02/2007,-33.861481,151.205475,10/01/2007,20:30:00
au,New South Wales,sydney (australia),light,0.002777778,0.166666667,10.0,white lights dipping&#44 diving over Sydney,31/01/2011,-33.861481,151.205475,10/01/2011,17:15:00
au,South Australia,belair  (south australia),disk,0.1,6.0,360.0,The disc was acompanyed by two other craft before it flew off at high speed and it was a reflective silver with lights around the rim,20/11/2001,-35.0,138.633333,10/11/1998,0:30:00
au,New South Wales,sydney (nsw&#44 australia),other,0.166666667,10.0,600.0,i was sitting down in a meadow&#44 when i looked up and saw the stars when suddenly one of the stars i was looking at changed&#44,28/04/2001,-33.861481,151.205475,11/11/2000,0:00:00
au,Queensland,brisbane (qld&#44 australia),circle,0.002777778,0.166666667,10.0,It was a huge black round thing and it was leaving a green trail of smoke behind it.  It made a buzzing sound.,3/12/2004,-27.47101,153.024292,11/11/2004,2:00:00
au,New South Wales,hillston (nsw)(australia),unknown,0.25,15.0,900.0,Bright star-like light.  ((NUFORC Note:  Possible sighting of Venus??  PD)),11/11/2013,-33.480942,145.534348,11/11/2013,22:30:00
au,Queensland,brisbane (qld&#44 australia),circle,1.0,60.0,3600.0,Strange lights over Brisbane,5/08/2001,-27.47101,153.024292,11/01/1997,23:30:00
au,Victoria,melbourne (vic&#44 australia),triangle,0.166666667,10.0,600.0,the triangle shot across the sky with a huge roaring sound,22/04/2003,-37.813938,144.963425,1/11/2002,3:34:00
au,Western Australia,perth (western australia),rectangle,0.025,1.5,90.0,The object seems to involve 3 lights. 2 at either side of the object which are always visible and turned red for about 10 seconds. The,9/11/2002,-31.95224,115.861397,1/11/2002,23:50:00
au,Western Australia,pemberton (western australia),unknown,0.000138889,0.008333333,0.5,Brief flash of bright light in southern sky 60 degrees above the horizon.,21/03/2003,-34.443111,116.036888,11/01/2003,21:00:00
au,New South Wales,denman (australia),egg,0.166666667,10.0,600.0,Green&#44 egg shaped glowing objects in sky. Hovering around southern cross star constelation. We were not under the influence of any ille,2/11/2004,-32.387878,150.689346,1/11/2004,2:36:00
au,South Australia,dublin (south australia),light,0.0125,0.75,45.0,Bright orange light moving too fast to be a satellite or plane.,14/02/2010,-34.45,138.35,11/01/2010,4:00:00
au,Victoria,yandoit (near daylesford&#44 vic) (australia),light,0.033333333,2.0,120.0,Nights sky&#44 white light wobbled&#44 expanded into a bright lit up cross shape and then flew away.,14/02/2010,-37.2,144.1,11/01/2010,22:30:00
au,Victoria,melbourne (australia),oval,0.016666667,1.0,60.0,Black object in picture.,24/04/2014,-37.813938,144.963425,1/11/2013,15:45:00
au,Western Australia,perth (australia),disk,0.002777778,0.166666667,10.0,UFO seen over Western Australian Skies.,30/08/2013,-31.95224,115.861397,11/01/2013,21:00:00
au,New South Wales,sydney (nsw&#44 australia),disk,0.006388889,0.383333333,23.0,It was a grey saucery shaped object hurdling to Earht however i only saw a glimpse of it.,5/12/2001,-33.861481,151.205475,12/11/2001,7:00:00
au,South Australia,adelaide (south australia),light,0.004166667,0.25,15.0,three slow moving crafts all traveling in the same direction(north) and one that took off so fast it left a blue trail that lasted for,16/11/2002,-34.928661,138.598633,12/11/2002,20:00:00
au,New South Wales,wagga wagga (nsw&#44 australia),formation,0.166666667,10.0,600.0,unexplained light formation,16/12/2005,-35.125771,147.353745,12/11/2005,10:45:00
au,Queensland,mount isa (australia),sphere,336.0,20160.0,1209600.0,Orange orb over mount Isa.  ((NUFORC Note:  Possible sighting of Venus&#44 we sspect.  PD)),20/11/2013,-20.725229,139.497269,12/11/2013,21:30:00
au,South Australia,mindarie (australia),oval,0.002777778,0.166666667,10.0,We saw the 2 objects and they were shining an oval then they shot across the sky very fast.,3/12/2004,-34.816667,140.216667,13/11/2004,1:00:00
au,Western Australia,perth (western australia),light,0.05,3.0,180.0,Two lights travelling toward each other.,16/11/2002,-31.95224,115.861397,15/11/1990,23:00:00
au,South Australia,lochiel (australia),light,0.0,0.0,0.0,Hello  I like to report a ufo sighting on the dirt roads late at night near the town of locheil near snowtown in South Australia. It ha,12/12/2009,-33.933333,138.166667,15/11/2001,1:45:00
au,Victoria,moe (australia),light,0.083333333,5.0,300.0,a moving object seen in the distant stars,2/03/2004,-38.17828,146.260986,15/11/2003,0:00:00
au,Queensland,brisbane (australia),triangle,0.004166667,0.25,15.0,it was really dark and there was 2 UFOs in the sky&#44 then my car went dead for around 15 sec&#44 when it came back on&#44 it had gone,1/02/2007,-27.47101,153.024292,15/11/2005,0:30:00
