latitude,longitude
-33.861481,151.205475
-34.928661,138.598633
-41.05584,145.903748
-34.928661,138.598633
-31.95224,115.861397
-37.813938,144.963425
-29.949369,114.982101
-27.47101,153.024292
-37.966667,145.066667
-12.45722,130.836639
-28.00029,153.430878
-37.813938,144.963425
-36.2,146.966667
-33.861481,151.205475
-27.616667,152.766667
-37.813938,144.963425
-27.883333,149.566667
-26.4849,147.974197
-31.95224,115.861397
-33.933333,147.25
-27.47101,153.024292
-32.24295,148.604843
-23.933333,151.35
-23.9475,151.374878
-33.861481,151.205475
-24.416667,150.5
-27.42395,117.897392
-27.616667,152.766667
-34.46825,138.997665
-37.931671,145.440933
-31.95224,115.861397
-31.95224,115.861397
-34.928661,138.598633
-33.652489,115.345497
-37.822891,147.610413
-33.861481,151.205475
-33.861481,151.205475
-33.861481,151.205475
-35.0,138.633333
-33.861481,151.205475
-27.47101,153.024292
-33.480942,145.534348
-27.47101,153.024292
-37.813938,144.963425
-31.95224,115.861397
-34.443111,116.036888
-32.387878,150.689346
-34.45,138.35
-37.2,144.1
-37.813938,144.963425
-31.95224,115.861397
-33.861481,151.205475
-34.928661,138.598633
-35.125771,147.353745
-20.725229,139.497269
-34.816667,140.216667
-31.95224,115.861397
-33.933333,138.166667
-38.17828,146.260986
-27.47101,153.024292
-37.136631,142.520462
-37.813938,144.963425
-31.95224,115.861397
-35.27603,149.13435
-37.813938,144.963425
-16.816667,145.716667
-31.95224,115.861397
-34.551048,146.404831
-27.47101,153.024292
-27.56056,151.953857
-31.95224,115.861397
-33.833333,151.083333
-37.813938,144.963425
-16.92304,145.766251
-37.813938,144.963425
-31.961729,141.459976
-34.928661,138.598633
-33.861481,151.205475
-36.2,146.966667
-35.27603,149.13435
-34.424,150.893448
-35.27603,149.13435
-37.813938,144.963425
-37.813938,144.963425
-37.2,143.95
-27.47101,153.024292
-23.697479,133.883621
-31.95224,115.861397
-20.725229,139.497269
-33.65,115.033333
-27.47101,153.024292
-37.813938,144.963425
-30.70953,150.041214
-34.928661,138.598633
-28.00029,153.430878
-35.27603,149.13435
-35.27603,149.13435
-27.47101,153.024292
-37.813938,144.963425
-33.86013,121.882591
-37.813938,144.963425
-37.483333,144.983333
-27.08465,152.951096
-33.861481,151.205475
-33.861481,151.205475
-31.95224,115.861397
-33.861481,151.205475
-33.861481,151.205475
-12.45722,130.836639
-37.813938,144.963425
-33.4244,151.343994
-38.153461,144.358093
-28.64201,153.611938
-33.417358,149.581284
-33.861481,151.205475
-33.861481,151.205475
-37.584888,141.402969
-37.813938,144.963425
-34.424,150.893448
-35.003101,117.865952
-27.47101,153.024292
-26.797091,153.137711
-34.928661,138.598633
-19.26639,146.805695
-29.46278,149.841568
-27.47101,153.024292
-33.861481,151.205475
-33.861481,151.205475
-27.65583,151.855316
-31.95224,115.861397
-33.895489,148.164383
-36.07494,146.923935
-31.95224,115.861397
-31.95224,115.861397
-37.649872,142.343933
-37.813938,144.963425
-37.813938,144.963425
-38.153461,144.358093
-16.92304,145.766251
-33.861481,151.205475
-32.15,116.0
-33.861481,151.205475
-34.477501,150.420395
-34.928661,138.598633
-36.358459,146.320557
-26.66008,153.099533
-27.56056,151.953857
-33.861481,151.205475
-33.861481,151.205475
-27.47101,153.024292
-25.285,152.873
-35.003101,117.865952
-37.813938,144.963425
-28.00029,153.430878
-33.861481,151.205475
-37.813938,144.963425
-37.813938,144.963425
-33.861481,151.205475
-38.153461,144.358093
-36.62009,142.466766
-17.955379,122.23922
-31.95224,115.861397
-32.927792,151.784485
-33.861481,151.205475
-33.861481,151.205475
-37.833333,145.0
-33.861481,151.205475
-31.95224,115.861397
-16.92304,145.766251
-26.394329,153.090103
-37.813938,144.963425
-34.833333,138.483333
-38.016667,145.166667
-33.4244,151.343994
-33.484329,151.324707
-37.813938,144.963425
-34.911079,137.799026
-33.861481,151.205475
-12.45722,130.836639
-33.861481,151.205475
-12.45722,130.836639
-24.866211,152.3479
-37.813938,144.963425
-37.813938,144.963425
-34.45002,150.445724
-23.697479,133.883621
-23.697479,133.883621
-35.27603,149.13435
-27.47101,153.024292
-33.861481,151.205475
-31.95224,115.861397
-37.813938,144.963425
