Date,population_NSW,population_VIC,population_QLD,population_SA,population_WA,population_TAS,population_NT,population_ACT
1/06/1991,5898731,4420373,2960951,1446299,1636067,466802,165493,289320
1/09/1991,5916714,4429409,2975984,1449037,1642746,467736,166716,290517
1/12/1991,5928072,4435083,2990441,1450862,1647408,468549,167043,291523
1/03/1992,5946386,4445141,3010322,1454160,1654244,469433,168117,293484
1/06/1992,5957822,4450217,3023198,1455442,1658544,469979,168546,294887
1/09/1992,5970754,4454836,3041149,1456178,1664755,470443,169101,296087
1/12/1992,5977823,4458219,3057138,1457241,1668515,471258,170420,296519
1/03/1993,5990424,4463265,3081331,1457895,1674250,471864,171319,299204
1/06/1993,5995055,4462766,3096185,1458632,1678722,471987,171708,299753
1/09/1993,6009659,4464794,3115843,1460306,1684972,472574,172884,300030
1/12/1993,6020171,4466738,3130986,1461102,1690348,472983,173590,300490
1/03/1994,6037096,4471010,3151365,1462557,1698534,473143,174237,301413
1/06/1994,6044819,4472989,3166566,1463089,1704649,473499,174908,302194
1/09/1994,6063058,4479378,3184148,1463714,1713520,473972,175543,303134
1/12/1994,6071872,4483205,3198877,1463977,1718549,474076,176761,303289
1/03/1995,6087910,4491289,3218314,1464763,1727907,474411,178692,305388
1/06/1995,6105560,4497660,3237380,1465340,1736066,474515,179602,305838
1/09/1995,6124648,4506386,3255117,1465759,1744788,474941,180698,306880
1/12/1995,6143971,4517353,3271743,1466605,1751933,475148,182829,307022
1/03/1996,6159806,4527573,3289507,1467943,1760445,475282,183859,308512
1/06/1996,6176461,4534984,3303192,1469079,1768206,475605,184516,309629
1/09/1996,6196251,4544480,3318599,1470334,1776454,475731,186229,310227
1/12/1996,6214548,4552904,3330579,1471997,1783556,475529,187342,310655
1/03/1997,6234303,4565356,3343777,1474442,1793345,475444,188223,310910
1/06/1997,6246267,4569297,3355417,1475658,1798341,474908,189755,310533
1/09/1997,6260867,4578175,3369184,1477371,1804800,474528,190694,310258
1/12/1997,6274966,4586156,3380394,1479003,1810928,474215,191259,310281
1/03/1998,6295260,4600872,3393483,1482137,1820812,473982,192061,311026
1/06/1998,6305799,4606970,3404484,1483270,1826440,473430,192905,311532
1/09/1998,6324111,4617308,3416076,1484580,1834703,473430,193703,311732
1/12/1998,6338790,4629345,3427505,1487042,1840078,473450,194390,312300
1/03/1999,6360552,4645152,3442196,1489729,1848303,473189,195251,313466
1/06/1999,6375103,4652462,3453936,1490934,1853936,473030,196012,314171
1/09/1999,6393100,4665626,3466399,1493030,1862033,473181,196807,314833
1/12/1999,6409971,4677581,3481034,1495218,1866265,473294,197757,315431
1/03/2000,6431826,4695560,3497147,1496828,1874371,473303,198304,316731
1/06/2000,6446558,4704065,3509458,1497503,1879093,473123,199149,317235
1/09/2000,6465614,4718436,3523446,1498934,1886084,473035,199816,318079
1/12/2000,6485081,4730855,3537670,1500129,1892531,473200,200045,318941
1/03/2001,6513844,4753725,3556466,1502299,1901295,473662,200789,320526
1/06/2001,6530349,4763615,3571469,1503461,1906274,473668,201743,321538
1/09/2001,6544891,4776052,3590969,1504992,1912214,473530,201995,321942
1/12/2001,6558484,4790212,3611203,1507825,1917752,473890,201751,322874
1/03/2002,6575296,4808940,3631451,1510013,1924935,474218,201880,324187
1/06/2002,6580807,4817774,3653123,1511567,1928512,474152,202251,324627
1/09/2002,6590659,4830383,3676870,1513662,1932977,474626,202069,325255
1/12/2002,6599441,4845024,3700791,1515723,1938610,475998,201549,325950
1/03/2003,6615712,4864214,3723239,1518570,1946831,477576,201068,327083
1/06/2003,6620715,4873809,3743121,1520399,1952741,478534,201725,327357
1/09/2003,6627538,4887826,3765109,1522193,1959430,479829,201781,327387
1/12/2003,6634509,4900176,3788560,1524727,1966130,481411,201708,327596
1/03/2004,6648280,4918070,3810921,1526994,1974145,482778,202009,328560
1/06/2004,6650735,4927149,3829970,1528189,1979542,483178,202663,328940
1/09/2004,6660416,4943359,3849852,1530521,1986513,483995,203527,329131
1/12/2004,6669206,4957147,3872351,1532562,1994241,484778,203857,329498
1/03/2005,6685875,4978342,3896951,1536798,2004644,485755,204897,330916
1/06/2005,6693206,4989246,3918494,1538804,2011207,486202,205905,331399
1/09/2005,6707429,5006241,3940494,1542004,2020359,486893,206759,332177
1/12/2005,6718023,5023203,3964175,1544852,2029936,488098,207385,333505
1/03/2006,6735528,5048207,3987653,1550135,2042450,489140,208347,334299
1/06/2006,6742690,5061266,4007992,1552529,2050581,489302,209057,335170
1/09/2006,6766133,5083593,4031580,1557332,2064032,490354,210284,336547
1/12/2006,6786160,5103965,4055845,1561300,2076867,491515,211029,338381
1/03/2007,6815359,5134074,4084531,1567206,2093633,492625,212372,340544
1/06/2007,6834156,5153522,4111018,1570619,2106139,493262,213748,342644
1/09/2007,6859736,5178515,4134958,1574537,2120776,494547,215180,343341
1/12/2007,6883852,5199503,4159990,1578489,2135006,495858,216618,344176
1/03/2008,6919907,5233000,4191479,1584408,2155552,497552,217912,346477
1/06/2008,6943461,5256375,4219505,1588665,2171700,498568,219874,348368
1/09/2008,6972395,5286549,4247991,1593725,2191582,500062,221464,349543
1/12/2008,7001782,5313285,4275551,1597880,2208928,501774,222526,351101
1/03/2009,7032423,5347672,4305605,1604142,2228317,503431,223922,353351
1/06/2009,7053755,5371934,4328771,1608902,2240250,504353,226027,354785
1/09/2009,7079175,5398874,4350135,1614593,2253355,505468,227255,356310
1/12/2009,7101504,5419249,4367454,1618578,2263747,506461,227783,357859
1/03/2010,7128356,5445172,4387801,1624033,2278589,508182,228600,360361
1/06/2010,7144292,5461101,4404744,1627322,2290845,508847,229778,361766
1/09/2010,7162726,5478710,4421470,1630230,2305415,509481,230460,362838
1/12/2010,7179891,5495711,4436882,1632482,2319063,510219,230299,364833
1/03/2011,7204737,5520378,4457971,1636759,2337611,511248,230224,366737
1/06/2011,7218529,5537817,4476778,1639614,2353409,511483,231292,367985
1/09/2011,7239528,5564662,4498104,1643402,2369612,511880,232581,369888
1/12/2011,7258722,5591818,4518649,1647183,2385947,511739,232952,372070
1/03/2012,7284982,5625354,4545613,1652716,2408108,511993,234275,374853
1/06/2012,7304244,5651091,4568687,1656725,2425507,511724,235915,376539
1/09/2012,7327614,5680420,4592100,1660198,2442876,511582,237517,378586
1/12/2012,7353189,5709586,4611304,1663082,2457489,511813,238728,379812
1/03/2013,7382957,5744915,4634430,1668056,2475242,512240,240107,382082
1/06/2013,7404032,5772669,4652824,1671488,2486944,512231,241722,383257
1/09/2013,7430904,5804499,4670784,1675313,2496285,512510,242301,384690
1/12/2013,7454938,5832585,4685439,1678052,2502188,513015,242304,386318
1/03/2014,7487834,5869511,4705187,1683544,2512556,513681,242790,388190
1/06/2014,7508353,5894917,4719653,1686945,2517608,513621,242894,388799
1/09/2014,7536277,5927199,4734613,1690133,2524042,513898,243201,390654
1/12/2014,7562171,5957512,4747263,1693107,2528619,514040,242753,391981
1/03/2015,7595731,5995205,4764439,1698433,2536604,514812,243059,394491
1/06/2015,7616168,6022322,4777692,1700668,2540672,515117,244692,395813
1/09/2015,7645324,6057558,4791520,1703703,2545509,515697,244570,397540
1/12/2015,7671401,6093049,4804933,1705937,2547745,515694,244090,398874
1/03/2016,7707412,6138627,4826538,1710334,2554506,516861,244627,401673
1/06/2016,7732858,6173172,4845152,1712843,2555978,517514,245678,403104
1/09/2016,7767915,6205852,4865303,1717275,2564492,519606,246443,406040
1/12/2016,7795625,6235781,4882939,1719580,2569606,521981,246065,408878
1/03/2017,7833463,6278555,4906370,1725253,2579276,524574,246231,413017
1/06/2017,7855316,6302608,4926380,1728673,2585720,526762,247412,415046
1/09/2017,7884752,6333514,4945129,1733055,2594138,529350,247514,417964
1/12/2017,7900946,6358210,4960965,1735654,2599928,531561,246862,420226
1/03/2018,7934688,6398586,4985955,1742255,2610320,534754,246674,423810
1/06/2018,7954476,6423038,5006623,1746137,2617792,537291,247095,426081
1/09/2018,7984525,6454976,5027543,1751849,2628121,540241,247006,428417
1/12/2018,8003564,6479695,5046434,1755715,2636404,542927,245920,430758
1/03/2019,8032991,6518716,5070306,1762889,2649641,545803,246016,433801
1/06/2019,8046748,6537305,5088847,1767395,2659625,547841,246559,435730
1/09/2019,8071350,6567898,5110540,1774006,2674246,549947,246677,438633
1/12/2019,8088361,6590050,5129741,1778928,2688799,553340,246213,440267
1/03/2020,8112001,6616636,5154305,1787847,2706350,555975,246969,443035
1/06/2020,8110610,6615046,5165613,1790355,2712912,557578,247428,444903
1/09/2020,8098905,6591437,5173071,1792178,2720001,559427,247755,445749
1/12/2020,8094300,6567195,5184329,1794514,2728187,561881,247819,447650
1/03/2021,8093015,6555302,5199548,1798586,2739105,564840,248185,449573
1/06/2021,8097062,6547822,5215814,1802601,2749365,567239,248151,452508
1/09/2021,8089116,6551555,5235834,1802085,2752915,566945,248493,451855
1/12/2021,8100840,6566560,5261715,1805749,2762511,568720,248127,452519
1/03/2022,8137716,6602324,5294430,1815494,2775636,570213,249615,455669
1/06/2022,8165731,6625964,5320496,1821200,2789148,571013,250219,456844
1/09/2022,8205236,6664586,5348999,1828690,2807264,571484,250505,459569
1/12/2022,8238801,6704281,5378277,1834275,2825178,571596,250149,460855
